t,X,Y,yaw
3.54,0.11961283171986188,0.00028709381596967153,0.0031607377132456963
3.5500000000000003,0.1211014512621737,0.0002917989675663086,0.0026540365175664465
3.56,0.12267352458437636,0.00029597131736828304,0.002636376627835598
3.5700000000000003,0.12426219060079749,0.0003001596490270578,0.002647612432799871
3.58,0.12585305240036054,0.00030437164434827266,0.003081698821175087
3.59,0.1274877748583393,0.000309409382567562,0.003441696959452664
3.6,0.12913229643877525,0.00031506934983868224,0.0038024609177246087
3.61,0.1307229757767099,0.00032111787500512743,0.003513137521958904
3.62,0.13236330932667922,0.00032688061605624865,0.0032299566049662923
3.63,0.13397513617401946,0.0003320867649324802,0.0035522568632270365
3.64,0.13569074020660213,0.00033818105676548923,0.004108719568991637
3.65,0.13743376548049252,0.0003453426991175528,0.004108435496980069
3.66,0.13910555775693642,0.00035221118849468086,0.004498618244814529
3.67,0.14073752677919626,0.00035955284363900177,0.0045896117662431336
3.68,0.1423961184120427,0.00036716518876275426,0.004362263958314945
3.69,0.14413741325927973,0.0003747612246982512,0.004350644818286089
3.7,0.1458031781609685,0.00038200842186157316,0.0041177297946848575
3.71,0.14754742320280972,0.0003891907922336759,0.0037894549469238183
3.72,0.149290721807077,0.00039579697537514016,0.0035859693974138484
3.73,0.15109719955865447,0.00040227497707668556,0.00374327774269493
3.74,0.1528434522631103,0.0004088117164896348,0.0035529362246269998
3.75,0.1545899353311671,0.0004150168855578725,0.002554558449629418
3.76,0.15635933180926212,0.00041953692211397695,0.002703178053214663
3.77,0.15804442272429448,0.00042409203398816395,0.00297639198625797
3.78,0.15987615304099637,0.0004295439975232741,0.0026493263593617778
3.79,0.16164904385886936,0.00043424097488859267,0.0027270273139383704
3.8,0.16344382768472293,0.0004391354115370992,0.00264710845567615
3.81,0.1653197911418603,0.00044410130186600016,0.0025383653459766405
3.82,0.16704129275732973,0.00044847111129508365,0.002552899330147052
3.83,0.16881572283723553,0.00045300106249848167,0.0027067605036006507
3.84,0.17062690025716226,0.0004579034979764087,0.0031853959360162716
3.85,0.1724326505263418,0.0004636555470001892,0.0032231058370689194
3.86,0.17425591049384184,0.0004695321271933907,0.0027940808723622185
3.87,0.1761633741804498,0.00047486174886412775,0.002824317130949678
3.88,0.17808732897467883,0.00048029562179689576,0.0030016747914914173
3.89,0.1799315237511441,0.00048583131139363797,0.003288140012044792
3.9,0.18169733838410124,0.000491637578067657,0.0033612884026169164
3.91,0.18363121372128138,0.0004981379152914786,0.0034977625723053825
