t,rpm_L_measured,rpm_R_measured,vx_computed,vyaw_computed,vx_variance,vyaw_variance
5.93,55.3136685352672,58.15137642349644,0.29705079306807286,0.049527345859415504,1.9739208802178718e-05,0.0008772981689857211
5.94,55.75849646486732,55.36595653962846,0.2909231376609235,-0.0068511141409505205,1.9739208802178718e-05,0.0008772981689857211
5.95,56.78745158532931,56.30853708538739,0.2960846059653317,-0.008358634859528443,1.9739208802178718e-05,0.0008772981689857211
5.96,56.67107341765582,58.78123993858479,0.3022534495665935,0.03682935355556435,1.9739208802178718e-05,0.0008772981689857211
5.97,58.27090105838669,57.64004885503344,0.3034541572655126,-0.011010448041975004,1.9739208802178718e-05,0.0008772981689857211
5.98,57.58577117686732,54.99924383128761,0.2947468800449301,-0.04514341837323503,1.9739208802178718e-05,0.0008772981689857211
5.99,55.16582504151176,58.541727427862895,0.2976856762462195,0.058920611867760986,1.9739208802178718e-05,0.0008772981689857211
6.0,57.914271996563286,56.643240147859046,0.29991086547203394,-0.02218369065759951,1.9739208802178718e-05,0.0008772981689857211
6.01,56.602732848255535,58.98935989613437,0.3026193911490378,0.04165450000263804,1.9739208802178718e-05,0.0008772981689857211
6.0200000000000005,58.8251161734118,57.19037669875787,0.30372785009150605,-0.02853158624503342,1.9739208802178718e-05,0.0008772981689857211
6.03,56.54267446935801,57.541427536306955,0.298671480626988,0.017431529432650472,1.9739208802178718e-05,0.0008772981689857211
6.04,56.53184117335963,58.71052500739229,0.30170380914646255,0.038025206263843835,1.9739208802178718e-05,0.0008772981689857211
6.05,57.94513744604775,56.21878794805672,0.2988804577692432,-0.03013048278009467,1.9739208802178718e-05,0.0008772981689857211
6.0600000000000005,58.21129129188664,56.10436334368159,0.2992776839945076,-0.03677282979846652,1.9739208802178718e-05,0.0008772981689857211
6.07,57.83349874980576,57.059981408604585,0.3007904276758555,-0.013500424425232915,1.9739208802178718e-05,0.0008772981689857211
6.08,55.273062732220545,58.28838687262778,0.29730317984133253,0.052627334264974124,1.9739208802178718e-05,0.0008772981689857211
6.09,57.941420840996216,55.69872680994613,0.29750921084421655,-0.03914239495664792,1.9739208802178718e-05,0.0008772981689857211
6.1000000000000005,56.05460985107304,55.2941379932154,0.29151034017836575,-0.013272737788374197,1.9739208802178718e-05,0.0008772981689857211
6.11,57.57811084698823,58.28424462553487,0.30332693731673976,0.012324359395187353,1.9739208802178718e-05,0.0008772981689857211
6.12,55.58729819060344,56.57220553800191,0.293632894120053,0.01718987603918698,1.9739208802178718e-05,0.0008772981689857211
6.13,57.83136609013399,56.82510829757798,0.30016994801911856,-0.01756251160395258,1.9739208802178718e-05,0.0008772981689857211
6.140000000000001,56.32786082791347,55.06760703075412,0.29163265288999,-0.021995578171191504,1.9739208802178718e-05,0.0008772981689857211
6.15,55.75661793276969,56.481004335859936,0.2938374079795942,0.01264292779060335,1.9739208802178718e-05,0.0008772981689857211
6.16,58.15236367686119,57.28669875712494,0.30221875873325355,-0.015108703068409945,1.9739208802178718e-05,0.0008772981689857211
6.17,57.58575293909442,58.412232942229785,0.3036820168966506,0.014424797256605098,1.9739208802178718e-05,0.0008772981689857211
6.18,56.55900735141084,56.37030331360075,0.2956482439667999,-0.0032935067715939015,1.9739208802178718e-05,0.0008772981689857211
6.19,59.03719413190759,59.284630857361314,0.309765813454687,0.00431858554952073,1.9739208802178718e-05,0.0008772981689857211
6.2,56.76699660719863,56.474312284066556,0.29646505341307605,-0.00510830510762561,1.9739208802178718e-05,0.0008772981689857211
6.21,57.334308721847435,56.47606935118011,0.2979548730470835,-0.014979102788389062,1.9739208802178718e-05,0.0008772981689857211
6.22,57.61847565029664,59.14060857535968,0.3056745677026615,0.026566231195362205,1.9739208802178718e-05,0.0008772981689857211
6.23,56.55218039212798,57.549531695919015,0.29871758371485513,0.017407064050211828,1.9739208802178718e-05,0.0008772981689857211
6.24,57.86114306516223,56.63334983826842,0.29974588148492204,-0.02142903434298275,1.9739208802178718e-05,0.0008772981689857211
