t,vyaw_measured,vyaw_variance
11.58,0.3120875642070489,6.4e-05
11.6,0.30317522934865754,6.4e-05
11.620000000000001,0.31240942697825386,6.4e-05
11.64,0.30718982540736217,6.4e-05
11.66,0.31630452856209745,6.4e-05
11.68,0.3036382663430347,6.4e-05
11.700000000000001,0.3097409186125415,6.4e-05
11.72,0.3100470805162829,6.4e-05
11.74,0.31801281498104955,6.4e-05
11.76,0.29234690154932574,6.4e-05
11.78,0.3023327338035747,6.4e-05
11.8,0.312788128843108,6.4e-05
11.82,0.31836717183822916,6.4e-05
11.84,0.30792057210113666,6.4e-05
11.86,0.3036583666846281,6.4e-05
11.88,0.31205694694939556,6.4e-05
11.9,0.31294962140185345,6.4e-05
11.92,0.30312270657066154,6.4e-05
11.94,0.3086424584974204,6.4e-05
11.96,0.31544421809929574,6.4e-05
11.98,0.3211236719461956,6.4e-05
12.0,0.3119408396738823,6.4e-05
12.02,0.30635311117332475,6.4e-05
12.040000000000001,0.30556739859169674,6.4e-05
12.06,0.310459172457549,6.4e-05
12.08,0.3050746172601644,6.4e-05
12.1,0.3075171239921791,6.4e-05
12.120000000000001,0.297536989883753,6.4e-05
12.14,0.3163764575719293,6.4e-05
12.16,0.2968785221828106,6.4e-05
12.18,0.3025431059163759,6.4e-05
12.200000000000001,0.3067807460868145,6.4e-05
12.22,0.3219278950391091,6.4e-05
12.24,0.3026185361211814,6.4e-05
12.26,0.3006718734883168,6.4e-05
12.280000000000001,0.30159346466132964,6.4e-05
12.3,0.3192711773408905,6.4e-05
12.32,0.28350122405195183,6.4e-05
12.34,0.2979780959028113,6.4e-05
12.36,0.3278503096732764,6.4e-05
12.38,0.3107270565879331,6.4e-05
12.4,0.2971521204052862,6.4e-05
12.42,0.3056646561426018,6.4e-05
12.44,0.3065396365285429,6.4e-05
12.46,0.31276900196724483,6.4e-05
12.48,0.3207160160225805,6.4e-05
12.5,0.3091084134502337,6.4e-05
12.52,0.3016816935758963,6.4e-05
12.540000000000001,0.31229667553678564,6.4e-05
12.56,0.3004139784250971,6.4e-05
12.58,0.29773330003208776,6.4e-05
12.6,0.29192072902434846,6.4e-05
12.620000000000001,0.29347897284399677,6.4e-05
12.64,0.29882843875100584,6.4e-05
12.66,0.296577681858393,6.4e-05
12.68,0.3085058922189977,6.4e-05
12.700000000000001,0.2964047853934077,6.4e-05
12.72,0.28085066958380206,6.4e-05
12.74,0.2976487058032843,6.4e-05
12.76,0.30222512281822866,6.4e-05
12.780000000000001,0.30115640409702427,6.4e-05
