t,X,Y,yaw,P_yaw
1.1,-0.00036445047678976505,-2.584097796079458e-06,0.007229188327362495,0.00040000000000000024
1.1,-0.0003644504720330009,-2.5848342240067897e-06,0.007269002715106988,0.00020000000000000006
1.11,-0.0003413893207822961,-2.41719970042816e-06,0.007323165329011085,0.00030000000000000014
1.12,-0.0003314279717901994,-2.3442497907835626e-06,0.00763845305450689,0.00040000000000000024
1.12,-0.0003314279689889041,-2.3445965469445158e-06,0.00760290043893357,0.00020000000000000006
1.13,-0.0003706175522636185,-2.6425567879549576e-06,0.007947352296793938,0.00029999999999999797
1.14,-0.0003529776441612343,-2.5023632722099034e-06,0.008034741860514791,0.00039999999999999807
1.14,-0.0003529776446788543,-2.5021897181943777e-06,0.007918121678933078,0.00019999999999999952
1.15,-0.00037775467103758585,-2.698381327947708e-06,0.007974729712274243,0.0002999999999999996
1.16,-0.0003684755020548968,-2.6243808946313286e-06,0.007939129622446507,0.0003999999999999997
1.16,-0.00036847550033917417,-2.624617235652604e-06,0.007977414409729428,0.00019999999999999993
1.17,-0.0003644108383793219,-2.592191054902388e-06,0.007995359613077738,0.00030000000000000003
1.18,-0.00030733378756589067,-2.1358297835376153e-06,0.007704933874787135,0.00040000000000000013
1.18,-0.0003073338573049159,-2.1271655450566513e-06,0.007912443143207118,0.0002
1.19,-0.000290583906616206,-1.994629746690349e-06,0.008124374027538604,0.0003000000000000001
1.2,-0.00030529712710364104,-2.1141680831521847e-06,0.008455004280862497,0.0004000000000000002
1.2,-0.0003052971143842328,-2.1157699018137434e-06,0.008367073484408356,0.00020000000000000004
1.21,-0.0002982761318613757,-2.0570234542003433e-06,0.008338786870656928,0.00030000000000000014
1.22,-0.0003167835312227287,-2.211356290218151e-06,0.008123247922903648,0.00040000000000000024
1.22,-0.00031678352808914805,-2.2116376742808043e-06,0.008346276019705055,0.00020000000000000006
1.23,-0.00027195899709597923,-1.837511078857773e-06,0.008075781474769263,0.00030000000000000014
1.24,-0.00024660423503603646,-1.6327471096485491e-06,0.00789500815328301,0.00040000000000000024
1.24,-0.00024660435012589885,-1.6186727022080376e-06,0.008239990169342511,0.00020000000000000006
1.25,-0.00022932452347394566,-1.4762838778412888e-06,0.008205707124958985,0.00030000000000000014
1.26,-0.00011403735185564483,-5.302498788804117e-07,0.00836136726374833,0.00040000000000000024
1.26,-0.00011403746700826689,-5.162126906604338e-07,0.008482897102279422,0.00020000000000000006
1.27,-0.00016783643119113272,-9.725947150994258e-07,0.008622172339953034,0.00030000000000000014
1.28,-0.0001746679636012028,-1.0314988245725311e-06,0.008844605592992053,0.00040000000000000024
1.28,-0.00017466795442272416,-1.0326714140582116e-06,0.00879903077873731,0.00020000000000000006
1.29,-0.00017021064287156497,-9.934503803213009e-07,0.009216870562177756,0.00030000000000000014
1.3,-0.00017937766869032855,-1.0779440633457927e-06,0.009319037609328677,0.00040000000000000024
1.3,-0.00017937765789685384,-1.0795019050999482e-06,0.009129469162126858,0.00020000000000000006
1.31,-0.00014918321661012876,-8.038350257744178e-07,0.009907438771399109,0.00030000000000000014
1.32,-0.00014110621216738186,-7.238099804358419e-07,0.0096952367040588,0.00040000000000000024
1.32,-0.0001411061253515249,-7.33501120677084e-07,0.0093116401895508,0.00020000000000000006
1.33,-0.0001379060328183597,-7.037021491737415e-07,0.00942605949039178,0.00030000000000000014
1.34,-0.000209204830325354,-1.3757887612849961e-06,0.009566802956382583,0.00040000000000000024
1.34,-0.00020920493010230756,-1.3653754504999673e-06,0.009301442310639627,0.00020000000000000006
1.35,-0.0002521519052787014,-1.764855783176667e-06,0.009440521527651614,0.00030000000000000014
1.36,-0.000234482875229573,-1.5980459690405093e-06,0.009426995937263837,0.00040000000000000024
1.36,-0.0002344829127803976,-1.5940650924784602e-06,0.009284018899141952,0.00020000000000000006
1.37,-0.00018156724440934106,-1.1027809120928148e-06,0.009285731589566868,0.00030000000000000014
1.38,-0.00010881657010959045,-4.27218260719703e-07,0.008934368315289022,0.000399999999999998
1.38,-0.0001088165614866602,-4.281499793630268e-07,0.008920482678906268,0.0001999999999999995
1.39,2.227617126231019e-05,7.412914920586164e-07,0.00857391314850068,0.0002999999999999996
1.4,3.231143548544986e-05,8.273350843522085e-07,0.008467229951616547,0.0003999999999999997
1.4,3.231118391916595e-05,8.552825614792567e-07,0.008729345977929329,0.00019999999999999993
1.41,-9.209873061933071e-06,4.928216829898813e-07,0.008867025142945543,0.00030000000000000003
1.42,8.757408741794728e-06,6.521421979950307e-07,0.00987988118835248,0.00040000000000000013
1.42,8.757574655982538e-06,6.33879229495911e-07,0.009483086169669417,0.0002
1.43,2.9552384259893467e-05,8.310841123613707e-07,0.009509585752327711,0.0003000000000000001
1.44,-1.8587916061618458e-05,3.732759980263928e-07,0.009529159874566947,0.0004000000000000002
1.44,-1.8587922280140896e-05,3.7374557372066495e-07,0.00935490207735081,0.00020000000000000004
1.45,-5.344616945211501e-05,4.764057184457727e-08,0.009296488036155046,0.00030000000000000014
1.46,-0.00010228880978499284,-4.0643753092600846e-07,0.0092272508703573,0.00040000000000000024
1.46,-0.0001022887315826224,-4.147471296426896e-07,0.009377220717212167,0.00020000000000000006
1.47,-7.728971279831999e-05,-1.8031894148081975e-07,0.009602862518705175,0.00030000000000000014
1.48,-5.524922271465798e-05,3.1339360698694895e-08,0.009303289139478324,0.00040000000000000024
1.48,-5.524922385220149e-05,3.1438368978314264e-08,0.00937797598789197,0.00020000000000000006
1.49,-4.631458031553141e-05,1.1522969792283246e-07,0.009371758547366792,0.00030000000000000014
1.5,-5.329311807931044e-05,4.9826612194552664e-08,0.00939168172427277,0.00040000000000000024
1.5,-5.3293118090559845e-05,4.982406795001141e-08,0.009416202474592824,0.00020000000000000006
1.51,-6.28482049406108e-05,-4.0151223723924313e-08,0.009786312701025104,0.00030000000000000014
1.52,-0.0001420573783605854,-8.153417109190093e-07,0.009959715808658459,0.00040000000000000024
1.52,-0.00014205763412576038,-7.891029826405241e-07,0.009551243852920121,0.00020000000000000006
1.53,-0.00019112330947247032,-1.2577554639094016e-06,0.009427828610385169,0.00030000000000000014
1.54,-0.00018576666848180333,-1.207252474411393e-06,0.00948606951965209,0.00040000000000000024
1.54,-0.00018576674497272318,-1.1993510192585972e-06,0.009335947375123005,0.00020000000000000006
1.55,-0.0001113491391817051,-5.045719820668081e-07,0.00909153761814671,0.00030000000000000014
1.56,-9.681023455148012e-05,-3.723873417207117e-07,0.009133898390966684,0.00040000000000000024
1.56,-9.681024496664742e-05,-3.7120354643655267e-07,0.009188210326450221,0.00020000000000000006
1.57,-9.136654136750012e-05,-3.211842452081703e-07,0.00881285425198519,0.00030000000000000014
1.58,-8.576877856865345e-05,-2.718507003318592e-07,0.009059318571130062,0.00040000000000000024
1.58,-8.576879606374077e-05,-2.698763686621488e-07,0.00917012224242517,0.00020000000000000006
1.59,-0.00014636143487586575,-8.255338489384489e-07,0.00926250241626761,0.00030000000000000014
1.6,-0.00019306408845275617,-1.2581296619792626e-06,0.009355405199938377,0.00040000000000000024
1.6,-0.0001930640301671978,-1.264412763978237e-06,0.009466779743988027,0.00020000000000000006
1.61,-0.00024550050375454443,-1.7608321397577328e-06,0.00942096957185073,0.00030000000000000014
1.62,-0.00013776034131163494,-7.457853174913445e-07,0.009247697880815777,0.00040000000000000024
1.62,-0.00013776041524591977,-7.38027608454259e-07,0.009541775486213685,0.00020000000000000006
1.63,-0.00014366524540458366,-7.943718820866342e-07,0.009846469807355337,0.00029999999999999797
1.64,-9.831910104426683e-05,-3.478580103878714e-07,0.009797566555484057,0.00039999999999999807
1.64,-9.83191379606292e-05,-3.440805560413707e-07,0.009882938361489207,0.00019999999999999952
1.65,-8.750365768216968e-05,-2.3718835093486973e-07,0.010333262336658485,0.0002999999999999996
1.66,3.011827390968958e-05,9.782731858890886e-07,0.010727234022116044,0.0003999999999999997
1.66,3.0118686297579034e-05,9.378643813291469e-07,0.010378123050522013,0.00019999999999999993
1.67,-1.1482403712640144e-05,5.061076492066257e-07,0.009939519630623445,0.00030000000000000003
1.68,-3.9598723899114456e-05,2.2663572932399914e-07,0.009817680565722789,0.00040000000000000013
1.68,-3.95987648152186e-05,2.3059645607477567e-07,0.010065441495773934,0.0002
1.69,-6.023602306281766e-05,2.286632524096764e-08,0.009944927371432672,0.0003000000000000001
1.7,-0.00010753373294559483,-4.4752147184610716e-07,0.009903870540660303,0.0004000000000000002
1.7,-0.00010753363452954376,-4.5746579945247593e-07,0.010166955854455822,0.00020000000000000004
1.71,-0.00012737211379498946,-6.591696922532061e-07,0.009847842203425822,0.00030000000000000014
1.72,-0.00015107857046255308,-8.926346839111771e-07,0.009880374529737909,0.00040000000000000024
1.72,-0.00015107844574539477,-9.051870064571554e-07,0.01014974624588115,0.00020000000000000006
1.73,-0.00022779876739300995,-1.6839055437728892e-06,0.0101516316305055,0.00030000000000000014
1.74,-0.00025741916760036474,-1.984611265302408e-06,0.010489453359553882,0.00040000000000000024
1.74,-0.0002574192627912425,-1.9751780774812318e-06,0.010376985766590371,0.00020000000000000006
1.75,-0.0002503734821473812,-1.9020614875637016e-06,0.01035166670874963,0.00030000000000000014
1.76,-0.00018565637364917575,-1.232107619782319e-06,0.010121689017343012,0.00040000000000000024
1.76,-0.0001856563847816472,-1.2311346693547861e-06,0.010217798435973282,0.00020000000000000006
1.77,-0.0001646804352943209,-1.0167991863201397e-06,0.010290628269029746,0.00030000000000000014
1.78,-0.0001494643549282474,-8.602106321012218e-07,0.010441769281998449,0.00040000000000000024
1.78,-0.00014946437087416445,-8.586888919381925e-07,0.010498210057674809,0.00020000000000000006
1.79,-0.00015221571397443267,-8.875741309239828e-07,0.010360140186135479,0.00030000000000000014
1.8,-4.455455192146638e-05,2.2785050793931126e-07,0.010530863056375663,0.00040000000000000024
1.8,-4.455479663844216e-05,2.514362536151022e-07,0.010784880040026862,0.00020000000000000006
1.81,-3.029865049149456e-05,4.051930410263262e-07,0.010788031814607007,0.00030000000000000014
1.82,-0.00010171583832374199,-3.6528774358627886e-07,0.010484018318158888,0.00040000000000000024
1.82,-0.00010171583172011959,-3.6529092378024977e-07,0.010826386498613633,0.00020000000000000006
1.83,-9.845150098424095e-05,-3.299486367327847e-07,0.010384748847726354,0.00030000000000000014
1.84,-0.00013965901217970553,-7.578936748749724e-07,0.00993042021565094,0.00040000000000000024
1.84,-0.00013965881880708694,-7.7598575626122e-07,0.010548359006150036,0.00020000000000000006
1.85,-9.086975240331562e-05,-2.613220796060686e-07,0.010230341579578925,0.00030000000000000014
1.86,-8.893999774361262e-05,-2.4157934151012566e-07,0.01016645422231787,0.00040000000000000024
1.86,-8.894005154599318e-05,-2.3636864723728498e-07,0.010631578792820763,0.00020000000000000006
1.87,-0.0001421209023349705,-8.01786355972745e-07,0.010789924138375944,0.00030000000000000014
1.88,-0.00012192895966646164,-5.839083710102637e-07,0.011497638111103983,0.000399999999999998
1.88,-0.00012192896558610421,-5.833454263942864e-07,0.011401327128918266,0.0001999999999999995
1.89,-5.282122121973189e-05,2.046087166856507e-07,0.011170536295627783,0.0002999999999999996
1.9,2.413558559914758e-05,1.064293278148044e-06,0.010961606276457519,0.0003999999999999997
1.9,2.413549433843519e-05,1.0723825427141702e-06,0.011052141927404292,0.00019999999999999993
1.91,-1.0752673474011417e-05,6.867778598191312e-07,0.010894736768201338,0.00030000000000000003
1.92,-5.417734342973626e-05,2.1365879225583776e-07,0.01076573091637149,0.00040000000000000013
1.92,-5.417733066576889e-05,2.1209738840048372e-07,0.01105823185547367,0.0002
1.93,-7.111303157893198e-06,7.325856491524476e-07,0.010759856204369395,0.0003000000000000001
1.94,-3.645329077836033e-05,4.168578971036642e-07,0.011027949840425804,0.0004000000000000002
1.94,-3.645329124575442e-05,4.1653020851605456e-07,0.011314758246001857,0.00020000000000000004
1.95,-0.00012287418510441528,-5.61343043589193e-07,0.011113364449181817,0.00030000000000000014
1.96,-0.00010832888823590339,-3.9968920329316707e-07,0.010940862985819998,0.00040000000000000024
1.96,-0.00010832873221803987,-4.1366847440260285e-07,0.011366117174957583,0.00020000000000000006
1.97,-0.00012028275804310959,-5.495451839347241e-07,0.011451710328772296,0.00030000000000000014
1.98,-0.00012720232287140312,-6.287895000570923e-07,0.011407722314122156,0.00040000000000000024
1.98,-0.00012720225006312608,-6.352555601701812e-07,0.011641973905353578,0.00020000000000000006
1.99,-0.00015788829395281295,-9.925178231181585e-07,0.0115058492163774,0.00030000000000000014
2.0,-0.00016423265439525483,-1.065518299150459e-06,0.011322147783949247,0.00040000000000000024
2.0,-0.0001642325057873574,-1.0784771137008975e-06,0.011704381892550868,0.00020000000000000006
2.01,-0.00011557468753388506,-5.089414191829892e-07,0.011372558277963397,0.00029999999999999797
2.02,-8.987797371505458e-05,-2.1669144422608364e-07,0.011372603331901428,0.0004000000000000003
2.02,-8.987810703743955e-05,-2.0521377015418796e-07,0.011803284736217223,0.0002000000000000001
2.03,-2.0652907709150877e-05,6.119089152963436e-07,0.011795085763575474,0.00029999999999999797
